Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Jundah QGAP," Dickson Street:driver licence; boat licence, driver tests; pre-registration inspections","driver licence; boat licence, driver tests; pre-registration inspections",Jundah Police Station, Dickson Street,Jundah,4736,Jundah Police Station, Dickson Street,Jundah,4736,-24.876548,143.048809,(07) 4658 6193,,,12:00,15:00,12:00,15:00,12:00,15:00,12:00,15:00,12:00,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing, driver testing for all vehicles
*  pre-registration inspections for all vehicles in fine weather only",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,j,,/transport/contacts/centres/view?title=Jundah QGAP
Karumba Police Station,Yappar Street:,,,Yappar Street,Karumba,4891,,Yappar Street,Karumba,4891,-17.502362,140.825055,(07) 4745 9120,(07) 4745 9356,,9:00,0:00,,,9:00,0:00,,,,,,,,,,"####Services offered at this location
* driver licensing
* practical driver testing
* registration of vehicles and vessels
",,,,,"Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.
",,Queensland Police Station,,k,,/transport/contacts/centres/view?title=Karumba Police Station
Kilcoy Police Station,13 Rose Street:driver licence,driver licence,,13 Rose Street,Kilcoy,4515,,13 Rose Street,Kilcoy,4515,-26.945758,152.562895,(07) 5497 1020,(07) 5497 1020,,,,,,9:00,12:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",, Corner of Rose and Royston Streets,,,,Queensland Police Station,,k,,/transport/contacts/centres/view?title=Kilcoy Police Station
Kilkivan Police Station,Hall Street:,,,2 Hall Street,Kilkivan,4600,,2 Hall Street,Kilkivan,4600,-26.086967,152.239105,(07) 5484 1144,(07) 5484 1411,,9:00,11:00,9:00,11:00,,,,,,,,,,,,"####Services offered at this location
* registration of vehicles and vessels
","####Services not offered at this location
* driver licensing
* practical driver testing
",,,,Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.,,Queensland Police Station,,k,,/transport/contacts/centres/view?title=Kilkivan Police Station
Kilkivan QGAP,26 Bligh Street:registration; pre-registration inspections,registration; pre-registration inspections,,26 Bligh Street,Kilkivan,4600,,PO Box 9,Kilkivan,4600,-26.08607,152.241311,(07) 5484 1859,(07) 5484 1290,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*  pre-registration inspections for light vehicles only",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,k,,/transport/contacts/centres/view?title=Kilkivan QGAP
Kingaroy Transport and Main Roads Customer Service Centre,"Artie Kerr Building Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections",Artie Kerr Building,130 Kingaroy Street,Kingaroy,4610,,PO Box 504,Kingaroy,4610,-26.5418332,151.8395109,13 23 80,(07) 4162 2082,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for vehicles less than 4.5 tonne gross vehicle mass and motorcycles only","####Services not offered at this location#### 
* pre-registration inspections for trailers 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,k,,/transport/contacts/centres/view?title=Kingaroy Transport and Main Roads Customer Service Centre
Kowanyama Police Station,31 Chapman Road:,,,31 Chapman Road,Kowanyama,4871,,31 Chapman Road,Kowanyama,4871,-15.47868,141.748446,(07) 4060 5120,(07) 40605274,,8:00,12:00,8:00,12:00,8:00-12:00,13:00-18:00,,,9:00,12:00,,,,,,"####Services offered at this location
* driver licensing
* practical driver testing
* registration of vehicles and vessels
",,,,,Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.,,Queensland Police Station,,k,,/transport/contacts/centres/view?title=Kowanyama Police Station
Laidley Police Station,Spicer Street:driver licence; practical driver tests,driver licence; practical driver tests,,Spicer Street,Laidley,4341,,PO BOX 90,Laidley,4341,-27.630014,152.395215,(07) 5466 8000,(07) 5465 3687,,,,,,9:00,12:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",," Next to the Lockyer Valley Council Office, across from the railway line",,,,Queensland Police Station,,l,,/transport/contacts/centres/view?title=Laidley Police Station
Laidley QGAP,130 Patrick Street:registration,registration,,130 Patrick Street,Laidley,4341,,Locked Mail Bag No 1,Laidley,4341,-27.630089,152.395578,1300 005 872,,,9:00-12:00,14:00-15:30,9:00-12:00,14:00-15:30,9:30-12:00,14:00-15:30,9:00-12:00,14:00-15:30,9:00-12:00,14:00-15:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels",,,,,New registrations are processed 9:00-12noon and 2-15:30. ,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,l,,/transport/contacts/centres/view?title=Laidley QGAP
Landsborough QGAP,12 Caloundra Street:registration,registration,,12 Caloundra Street,Landsborough,4550,,12 Caloundra Street,Landsborough,4550,-26.810325,152.968562,(07) 5494 1054,(07) 5494 1070,,9:00-12:30,13:00-16:00,9:00-12:30,13:00-16:00,9:00-12:30,13:00-16:00,9:00-12:30,13:00-16:00,9:00-12:30,13:00-16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,QGAP (TMR lead),17/07/2018,l,,/transport/contacts/centres/view?title=Landsborough QGAP
Laura Police Station,3 Gladwell Crt:driver licence; boat licence; practical driver tests; pre-registration inspections for all vehicles; registration,driver licence; boat licence; practical driver tests; pre-registration inspections for all vehicles; registration,,3 Gladwell Crt,Laura,4871,,c/- Post Office,Laura,4871,-15.559766,144.446648,(07) 4060 3244,(07) 4060 3390,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing for all licence classes up to light rigid and all motorcycle classes
*  pre-registration inspections for all vehicles
*  registration of vehicles and vessels",,,,,Please contact this location for operating times,,Queensland Police Station,,l,,/transport/contacts/centres/view?title=Laura Police Station
Leyburn Police Station,Dove Street:,,,Dove Street,Leyburn,4352,,PO Box 14,Leyburn,4365,-28.009421,151.586032,(07) 4695 0178,(07) 4695 0178,,,,10:00,12:00,,,16:00,18:00,,,,,,,,"####Services offered at this location
* registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing
* driver licensing",,,,Please contact the centre to make sure it is staffed before travelling here. Services available by appointment only.,,Queensland Police Station,,l,,/transport/contacts/centres/view?title=Leyburn Police Station
Lockhart River Police Station,Piiramo St:,,,Piiramo St,Lockhart River,4871,,Piiramo Street,Lockhart River,4871,-12.794503,143.358666,(07) 4060 7120,(07) 4060 7340,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location
* driver licensing
* practical driver testing
* registration of vehicles and vessels
",,,,,Please contact the centre to make sure it is staffed before travelling here.,,Queensland Police Station,,l,,/transport/contacts/centres/view?title=Lockhart River Police Station
Logan Transport and Main Roads Customer Service Centre,"43-45 Jacaranda Ave Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,43-45 Jacaranda Avenue,Logan Central,4114,,PO Box 272,Logan Central,4114,-27.645728,153.105592,13 23 80,(07) 3803 8471,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,l,,/transport/contacts/centres/view?title=Logan Transport and Main Roads Customer Service Centre
Logan Motor Vehicle Inspection Centre,"43-45 Jacaranda Ave Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,43-45 Jacaranda Avenue,Logan Central,4114,,PO Box 272,Logan Central,4114,-27.645728,153.105592,13 23 80,(07) 3290 8209,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by approved inspection stations","####Services not offered at this location#### 
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass-these are performed by Approved Inspection Stations
",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,l,,/transport/contacts/centres/view?title=Logan Motor Vehicle Inspection Centre
Longreach Transport and Main Roads Customer Service Centre,"14 Wonga St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests  ","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,14 Wonga Street,Longreach,4730,,PO Box 372,Longreach,4730,-23.44045245,144.2576459,13 23 80,(07) 4658 1748,,9:00,16:30,9:00,16:30,10:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections from 9:00 to 13:00 and 14:00 to 16:00 for all vehicles
*  practical driver testing for all licence classes",,,,"Longreach Transport and Main Roads Customer Service Centre will be closed on 6 November for the local show holiday and will reopen on 7 November. The closest customer service centre is [Winton QGAP](https://www.qld.gov.au/transport/contacts/centres/view?title=Winton Queensland Government Agent Program Office). Alternatively, there are a range of [online services](http://www.tmr.qld.gov.au/Online-services) available.",,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,l,,/transport/contacts/centres/view?title=Longreach Transport and Main Roads Customer Service Centre
Longreach Motor Vehicle Inspection Centre,"14 Wonga St Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,14 Wonga Street,Longreach,4730,,PO Box 372,Longreach,4730,-23.440503,144.257698,13 23 90,(07) 4652 8251,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to and including 16 tonne GVM are undertaken by Approved Inspection Stations ",,,,Please contact this location for operating times,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Motor Vehicle Inspection Centre,,l,,/transport/contacts/centres/view?title=Longreach Motor Vehicle Inspection Centre
Lowood Police Station,145 Main Street:driver licence,driver licence,,145 Main Street,Lowood,4311,,145 Main Street,Lowood,4311,-27.467452,152.579476,(07) 5426 1108,(07) 5426 1081,,,,9:00,11:30,,,9:00,11:30,,,,,,,,"####Services offered at this location#### 
* driver licensing",,,,,,,Queensland Police Station,,l,,/transport/contacts/centres/view?title=Lowood Police Station
Lowood QGAP,Cnr Michel & Main Streets:registration,registration,,1 Michel Street,Lowood,4311,,PO Box 102,Lowood,4311,-27.4634432,152.5779593,(07) 5425 9103,,,9:00-12:00,14:00-16:00,9:00-12:00,14:00-16:00,9:00-12:00,14:00-16:00,9:00-12:00,14:00-16:00,9:00-12:00,14:00-16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,  Opposite the Lowood Tavern,,New registrations are processed until 15:30. ,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,l,,/transport/contacts/centres/view?title=Lowood QGAP
Macgregor Transport and Main Roads Customer Service Centre,"Kessels Ct Services: driver license, boat license, registration, industry licensing, pre-registration inspections","driver licence, boat licence, registration, industry licensing, pre-registration inspections",Kessels Court,567 Kessels Road,Macgregor,4109,,PO Box 2167,Mansfield,4122,-27.562781,153.071487,13 23 80,(07) 3347 7876,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass","####Services not offered at this location#### 
* pre-registration inspections for trailers 
* practical driver testing
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Macgregor Transport and Main Roads Customer Service Centre
Mackay Transport and Main Roads Customer Service Centre,"Cnr Endeavour and Industrial St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,Corner Endeavour Street and Industrial Street,Mackay,4740,,PO Box 62,Mackay,4740,-21.143711,149.194222,13 23 80,(07) 4951 8351,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Mackay Transport and Main Roads Customer Service Centre
Mackay Motor Vehicle Inspection Centre,Cnr Endeavour and Industrial St Services:  ,"vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Cnr Endeavour and Industrial Streets,Mackay,4740,,PO Box 62,Mackay,4740,-21.143711,149.194222,13 23 90,(07) 4951 8350,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass ","####Services not offered at this location#### 
* safety inspections for light vehicles and heavy vehicles up to and including 16 tonne GVM are performed by Approved Inspection Stations ",,,,Please contact this location for operating times,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Motor Vehicle Inspection Centre,,m,,/transport/contacts/centres/view?title=Mackay Motor Vehicle Inspection Centre
Magnetic Island Police Station,5/7 Granite Street:,,,5/7 Granite Street,Picnic Bay,4819,,PO Box 119,Picnic Bay,4819,-19.177441,146.839341,(07) 4778 5270,(07) 4758 1110,,9:00,12:00,9:00,12:00,9:00,12:00,,,,,,,,,,,,,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Magnetic Island Police Station
Malanda Police Station,29 James Street:driver licence,driver licence,,29 James Street,Malanda,4885,,29 James Street,Malanda,4885,-17.352922,145.595331,(07) 4096 5200,(07) 4096 6124,,9:00,15:00,9:00,15:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Malanda Police Station
Malanda QGAP,3 Englishstreet:registration;  pre-registration inspections; practical driver testing bookings,registration;  pre-registration inspections; practical driver testing bookings,,3 English St,Malanda,4885,,PO Box 43,Ravenshoe,4888,-17.353095,145.595636,(07) 4097 6660,(07) 4097 6830,,,,,,,,,,9:00-13:00,1.30-16:00,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
*   pre-registration inspections for all vehicles
*  practical driver testing bookings",, Driving tests can be booked here for the Ravenshoe QGAP. ,,,Vehicle inspections are performed until 15:30. ,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Malanda QGAP
Maleny QGAP,10 Macadamia Drive:registration; pre-registration inspections,registration; pre-registration inspections; driver licence; boat licence; practical driver tests,Maleny Police Station,10 Macadamia Drive,Maleny,4552,,PO Box 1200,Maleny,4552,-26.758341,152.849398,(07) 5420 5320,(07) 5494 2655,,9:00-12:00,12:30-14:00,9:00-12:00,12:30-14:00,8:00-12:00,12:30-14:30,9:00-12:00,12:30-14:00,8:00-12:00,12:30-14:30,,,,,,"####Services offered at this location####
**Monday, Tuesday and Thursday only**

*  registration of vehicles and vessels 
*  new vehicle/trailer registration services available from 9am - 11am and 12.30am - 1pm only

**Wednesday and Friday only**

* driver and boat licensing services 
*  practical driver testing for light vehicles only (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ","Driving tests restricted to customers who reside in Maleny, Conondale and Kenilworth (or in between).

Pre-registration inspections for light vehicles are available at [Maroochydore Transport and Main Roads Customer Service Centre](https://www.qld.gov.au/transport/contacts/centres//transport/contacts/centres/view?title=Maroochydore%20Transport%20and%20Main%20Roads%20Customer%20Service%20Centre).",,,New vehicle/trailer registrations close at 11:00am before lunch and at 1pm prior to close of business.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,m,,/transport/contacts/centres/view?title=Maleny QGAP
Marburg Police Station,113 Queen Street:driver licence,driver licence,,113 Queen Street,Marburg,4346,,Queen Street,MARBURG,4346,-27.565308,152.596624,(07) 5464 4220,(07) 5464 4610,,,,,,8:00,16:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  transfers of interstate or international licences","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Marburg Police Station
Mareeba Transport and Main Roads Customer Service Centre,"147 Walsh St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,147 Walsh Street,Mareeba,4880,,PO Box 1303,Mareeba,4880,-16.993177,145.424027,13 23 80,(07) 4092 4004,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicle types 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Mareeba Transport and Main Roads Customer Service Centre
Marian Police Station,Anzac Avenue:driver licence; practical driver tests; registration; pre-registration inspections,driver licence; practical driver tests; registration; pre-registration inspections,,Anzac Avenue,Marian,4753,,Anzac Avenue,Marian,4753,-21.144629,148.945467,(07) 4954 3237,(07) 4954 3460,,8:30,15:00,8:30,15:00,,,8:30,15:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles (except motorcycles)
*  registration of vehicles and vessels
*  pre-registration inspections light vehicles only ","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Marian Police Station
Marlborough Police Station,Milman Street:driver licence; practical driver tests,driver licence; practical driver tests,,Milman Street,Marlborough,4705,,Milman Street,Marlborough,4705,-22.812985,149.891749,(07) 4935 6120,(07) 4935 6005,,,,,,9:00,17:00,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles only",,,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Marlborough Police Station
Maroochydore Transport and Main Roads Customer Service Centre,"5 Kelly Court (off Kayleigh Drive) Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,5 Kelly Court (off Kayleigh Drive),Buderim,4556,,PO Box 5125,Maroochydore,4558,-26.669873,153.088223,13 23 80,(07) 5443 6080,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles types 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Maroochydore Transport and Main Roads Customer Service Centre
Maroochydore Motor Vehicle Inspection Centre,"5 Kelly Court (off Kayleigh Drive) Services: vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,5 Kelly Court (off Kayleigh Drive),Buderim,4556,,PO Box 5125,Maroochydore,4558,-26.669873,153.088223,13 23 80,(07) 5451 9251,,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Motor Vehicle Inspection Centre,,m,,/transport/contacts/centres/view?title=Maroochydore Motor Vehicle Inspection Centre
Maryborough Transport and Main Roads Customer Service Centre,"Bright St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,Bright Street,Maryborough,4650,,PO Box 371,Maryborough,4650,-25.515653,152.671047,13 23 80,(07) 4121 8333,,8:30,16:00,8:30,16:00,9:30,16:00,8:30,16:00,8:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for all vehicles 
*  practical driver testing for all licence classes (except motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Service Centre,,m,,/transport/contacts/centres/view?title=Maryborough Transport and Main Roads Customer Service Centre
Maryborough Motor Vehicle Inspection Centre,"Bright St Services: vehicle safety inspections, taxis, limousines, buses, safety inspections","vehicle safety inspections, taxis, limousines, buses, heavy vehicles, safety inspections, light vehicles",,Bright Street,Maryborough,4650,,PO Box 371,Maryborough,4650,-25.515653,152.671047,13 23 90,(07) 4121 8377,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* pre-booked vehicle safety inspections of passenger transport vehicles (taxis, limousines, buses) and heavy vehicles over 16 tonne gross vehicle mass
*  safety inspections for light vehicles and heavy vehicles up to and including 16 tonne gross vehicle mass are undertaken by Authorised Inspections Stations","####Services not offered at this location####
* safety inspections for light vehicles and heavy vehicles up to 16 tonne GVM-these are performed at Approved Inspection Stations",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** no,Motor Vehicle Inspection Centre,,m,,/transport/contacts/centres/view?title=Maryborough Motor Vehicle Inspection Centre
Meandarra Police Station,Payne Street:driver licence; practical driver tests; registration;  release of information,driver licence; practical driver tests; registration;  release of information,,Payne Street,Meandarra,4422,,PO Box 27,Meandarra,4422,-27.323553,149.882888,(07) 4665 6100,(07) 4665 6404,,,,8:00,12:00,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
*  practical driver testing for light vehicles and all motorcycle classes
*  registration of vehicles and vessels",,, Opposite State School,,Please ring before travelling to this location to ensure that it is staffed. ,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Meandarra Police Station
Middlemount Police Station,14 James Randell Dr:driver licence; boat licence; practical driver tests,driver licence; boat licence; practical driver tests,,14 James Randell Dr,Middlemount,4746,,PO Box 126,Middlemount,4746,-22.809244,148.702177,(07) 4985 7260,(07) 4985 7751,,8:00-12:00,13:00-16:00,8:00-12:00,13:00-16:00,8:00-12:00,13:00-16:00,8:00-12:00,13:00-16:00,8:00-12:00,13:00-16:00,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  practical driver testing",,,,,,,Queensland Police Station,,m,,/transport/contacts/centres/view?title=Middlemount Police Station
